label,clips,fraction
Music,14739,0.28788796
Musical_instrument,14703,0.2871848
Domestic_sounds_and_home_sounds,6658,0.13004668
Human_voice,5653,0.11041663
Animal,4357,0.08510264
Percussion,3977,0.077680334
Vehicle,3710,0.07246518
Wind_instrument_and_woodwind_instrument,2653,0.051819444
Wild_animals,2392,0.04672149
Plucked_string_instrument,2350,0.045901127
Speech,2254,0.044026017
Guitar,2232,0.043596305
Bowed_string_instrument,2064,0.04031486
Motor_vehicle_(road),1986,0.038791336
Water,1925,0.037599858
Alarm,1864,0.036408383
Keyboard_(musical),1804,0.03523644
Bird,1729,0.03377151
Liquid,1601,0.031271365
Mechanisms,1534,0.029962692
Door,1522,0.029728305
Drum,1514,0.029572045
Human_group_actions,1423,0.027794598
Engine,1408,0.027501611
Explosion,1388,0.027110964
Domestic_animals_and_pets,1365,0.026661718
Glass,1241,0.024239702
Respiratory_sounds,1202,0.023477938
Laughter,1186,0.02316542
Bell,1184,0.023126354
Brass_instrument,1035,0.02021603
Tools,1004,0.019610524
Car,999,0.019512862
Bird_vocalization_and_bird_call_and_bird_song,961,0.018770631
Dog,930,0.018165126
Cymbal,903,0.017637752
Snare_drum,886,0.017305702
Hands,870,0.016993184
Male_speech_and_man_speaking,858,0.016758794
Piano,855,0.016700197
Rail_transport,836,0.016329082
Singing,717,0.014004727
Rain,708,0.013828935
Electric_guitar,687,0.013418755
Telephone,685,0.01337969
Acoustic_guitar,672,0.013125769
Breathing,658,0.012852316
Female_speech_and_woman_speaking,640,0.012500732
Trumpet,637,0.012442135
Livestock_and_farm_animals_and_working_animals,635,0.012403071
Fart,630,0.012305409
Squeak,606,0.011836631
Hi-hat,604,0.011797566
Thunderstorm,601,0.011738969
Insect,598,0.011680372
Thunder,583,0.011387386
Walk_and_footsteps,580,0.0113287885
Clapping,566,0.011055335
Slam,552,0.010781881
Applause,550,0.010742817
Chirp_and_tweet,548,0.010703752
Bark,536,0.010469363
Coin_(dropping),529,0.010332637
Splash_and_splatter,518,0.01011778
Shatter,510,0.009961521
Fire,509,0.009941989
Gunshot_and_gunfire,482,0.009414614
Dishes_and_pots_and_pans,479,0.009356017
Thump_and_thud,470,0.009180225
Fireworks,469,0.009160693
Water_tap_and_faucet,458,0.008945837
Chatter,454,0.008867707
Train,449,0.008770045
Crowd,435,0.008496592
Cat,435,0.008496592
Chink_and_clink,433,0.008457527
Wood,432,0.008437995
Typing,430,0.00839893
Wind,428,0.008359865
Mallet_percussion,427,0.008340333
Sink_(filling_or_washing),407,0.007949685
Drum_kit,401,0.00783249
Cutlery_and_silverware,400,0.007812958
Bass_guitar,400,0.007812958
Zipper_(clothing),395,0.007715296
Shout,393,0.007676231
Subway_and_metro_and_underground,387,0.007559037
Tearing,386,0.007539504
Cough,385,0.007519972
Tap,384,0.0075004394
Screaming,377,0.007363713
Camera,376,0.0073441803
Knock,373,0.0072855833
Whoosh_and_swoosh_and_swish,372,0.0072660507
Clock,349,0.006816806
Organ,348,0.006797273
Writing,343,0.0066996114
Bass_drum,339,0.006621482
Run,332,0.006484755
Ocean,332,0.006484755
Drip,331,0.0064652227
Crackle,327,0.006387093
Cheering,326,0.0063675605
Pour,323,0.0063089635
Rattle_(instrument),317,0.006191769
Stream,317,0.006191769
Burping_and_eructation,311,0.006074575
Bicycle,311,0.006074575
Scratching_(performance_technique),309,0.00603551
Trickle_and_dribble,304,0.005937848
Rattle,300,0.005859718
Tambourine,300,0.005859718
Sliding_door,295,0.0057620564
Crumpling_and_crinkling,291,0.005683927
Hiss,289,0.005644862
Crash_cymbal,285,0.0055667325
Bus,285,0.0055667325
Fowl,281,0.005488603
Toilet_flush,279,0.005449538
Traffic_noise_and_roadway_noise,279,0.005449538
Gong,278,0.0054300055
Cricket,276,0.0053909407
Crushing,276,0.0053909407
Accelerating_and_revving_and_vroom,275,0.0053714085
Aircraft,272,0.005312811
Chime,268,0.0052346815
Chewing_and_mastication,256,0.005000293
Child_speech_and_kid_speaking,255,0.0049807606
Keys_jangling,251,0.004902631
Motorcycle,250,0.0048830984
Meow,250,0.0048830984
Waves_and_surf,245,0.0047854367
Whispering,245,0.0047854367
Cowbell,235,0.0045901127
Hammer,234,0.00457058
Harp,234,0.00457058
Gurgling,234,0.00457058
Strum,233,0.004551048
Car_passing_by,232,0.0045315153
Computer_keyboard,223,0.004355724
Harmonica,223,0.004355724
Drawer_open_or_close,220,0.004297127
Engine_starting,220,0.004297127
Power_tool,214,0.0041799326
Idling,213,0.0041604
Drill,211,0.004121335
Marimba_and_xylophone,210,0.004101803
Female_singing,207,0.0040432056
Microwave_oven,206,0.0040236735
Bathtub_(filling_or_washing),204,0.0039846087
Boom,204,0.0039846087
Finger_snapping,199,0.0038869465
Yell,199,0.0038869465
Raindrop,194,0.0037892845
Giggle,188,0.0036720901
Crack,187,0.0036525577
Vehicle_horn_and_car_horn_and_honking,183,0.0035744281
Chicken_and_rooster,173,0.0033791042
Sawing,173,0.0033791042
Tick-tock,170,0.003320507
Ringtone,169,0.0033009746
Scissors,165,0.003222845
Printer,163,0.0031837802
Buzz,156,0.0030470535
Screech,154,0.0030079887
Truck,154,0.0030079887
Cupboard_open_or_close,153,0.0029884563
Crying_and_sobbing,151,0.0029493915
Male_singing,150,0.002929859
Fill_(with_liquid),148,0.0028907943
Fixed-wing_aircraft_and_airplane,146,0.0028517295
Doorbell,144,0.0028126647
Glockenspiel,143,0.0027931323
Church_bell,141,0.0027540675
Boat_and_Water_vehicle,139,0.0027150027
Sigh,136,0.0026564056
Skateboard,135,0.0026368732
Siren,132,0.002578276
Packing_tape_and_duct_tape,130,0.0025392112
Bicycle_bell,129,0.0025196788
Purr,128,0.0025001464
Conversation,126,0.0024610816
Sneeze,125,0.0024415492
Race_car_and_auto_racing,123,0.0024024844
Growling,123,0.0024024844
Frying_(food),123,0.0024024844
Speech_synthesizer,120,0.0023438872
Wind_chime,119,0.0023243548
Mechanical_fan,119,0.0023243548
Ratchet_and_pawl,111,0.0021680957
Chuckle_and_chortle,111,0.0021680957
Crow,111,0.0021680957
Frog,110,0.0021485635
Gasp,110,0.0021485635
Tick,109,0.002129031
Gull_and_seagull,104,0.0020313691
Boiling,102,0.0019923043
Accordion,102,0.0019923043
Typewriter,102,0.0019923043
Tabla,97,0.0018946422
