label_i,label_j,count,p_j_given_i,p_i_given_j,npmi
Music,Musical_instrument,14703,0.998,1.0,0.998
Musical_instrument,Percussion,3977,0.27,1.0,0.488
Music,Percussion,3977,0.27,1.0,0.487
Musical_instrument,Wind_instrument_and_woodwind_instrument,2653,0.18,1.0,0.421
Music,Wind_instrument_and_woodwind_instrument,2653,0.18,1.0,0.421
Animal,Wild_animals,2392,0.549,1.0,0.804
Musical_instrument,Plucked_string_instrument,2350,0.16,1.0,0.405
Music,Plucked_string_instrument,2350,0.159,1.0,0.404
Human_voice,Speech,2254,0.399,1.0,0.706
Guitar,Music,2232,1.0,0.151,0.397
Guitar,Musical_instrument,2232,1.0,0.152,0.398
Guitar,Plucked_string_instrument,2232,1.0,0.95,0.984
Bowed_string_instrument,Musical_instrument,2064,1.0,0.14,0.389
Bowed_string_instrument,Music,2064,1.0,0.14,0.388
Motor_vehicle_(road),Vehicle,1986,1.0,0.535,0.808
Keyboard_(musical),Music,1804,1.0,0.122,0.372
Keyboard_(musical),Musical_instrument,1804,1.0,0.123,0.373
Animal,Bird,1729,0.397,1.0,0.727
Bird,Wild_animals,1729,1.0,0.723,0.904
Domestic_sounds_and_home_sounds,Door,1522,0.229,1.0,0.58
Drum,Musical_instrument,1514,1.0,0.103,0.354
Drum,Percussion,1514,1.0,0.381,0.726
Drum,Music,1514,1.0,0.103,0.354
Animal,Domestic_animals_and_pets,1365,0.313,1.0,0.68
Human_voice,Laughter,1186,0.21,1.0,0.585
Brass_instrument,Music,1035,1.0,0.07,0.319
Brass_instrument,Musical_instrument,1035,1.0,0.07,0.32
Car,Vehicle,999,1.0,0.269,0.667
Car,Motor_vehicle_(road),999,1.0,0.503,0.825
Animal,Bird_vocalization_and_bird_call_and_bird_song,961,0.221,1.0,0.62
Bird_vocalization_and_bird_call_and_bird_song,Wild_animals,961,1.0,0.402,0.771
Bird,Bird_vocalization_and_bird_call_and_bird_song,961,0.556,1.0,0.852
Dog,Domestic_animals_and_pets,930,1.0,0.681,0.904
Animal,Dog,930,0.213,1.0,0.615
Cymbal,Percussion,903,1.0,0.227,0.633
Cymbal,Music,903,1.0,0.061,0.308
Cymbal,Musical_instrument,903,1.0,0.061,0.309
Percussion,Snare_drum,886,0.223,1.0,0.63
Music,Snare_drum,886,0.06,1.0,0.307
Drum,Snare_drum,886,0.585,1.0,0.868
Musical_instrument,Snare_drum,886,0.06,1.0,0.308
Male_speech_and_man_speaking,Speech,858,1.0,0.381,0.764
Human_voice,Male_speech_and_man_speaking,858,0.152,1.0,0.539
Music,Piano,855,0.058,1.0,0.304
Musical_instrument,Piano,855,0.058,1.0,0.305
Keyboard_(musical),Piano,855,0.474,1.0,0.818
Rail_transport,Vehicle,836,1.0,0.225,0.638
Engine,Vehicle,773,0.549,0.208,0.483
Human_voice,Singing,717,0.127,1.0,0.516
Rain,Water,708,1.0,0.368,0.766
Electric_guitar,Musical_instrument,687,1.0,0.047,0.289
Electric_guitar,Music,687,1.0,0.047,0.289
Electric_guitar,Plucked_string_instrument,687,1.0,0.292,0.715
Electric_guitar,Guitar,687,1.0,0.308,0.727
Alarm,Telephone,685,0.367,1.0,0.768
Acoustic_guitar,Guitar,672,1.0,0.301,0.723
Acoustic_guitar,Musical_instrument,672,1.0,0.046,0.288
Acoustic_guitar,Plucked_string_instrument,672,1.0,0.286,0.711
Acoustic_guitar,Music,672,1.0,0.046,0.287
Breathing,Respiratory_sounds,658,1.0,0.547,0.862
Engine,Motor_vehicle_(road),653,0.464,0.329,0.569
Female_speech_and_woman_speaking,Speech,640,1.0,0.284,0.713
Female_speech_and_woman_speaking,Human_voice,640,1.0,0.113,0.503
Musical_instrument,Trumpet,637,0.043,1.0,0.284
Music,Trumpet,637,0.043,1.0,0.284
Brass_instrument,Trumpet,637,0.615,1.0,0.889
Animal,Livestock_and_farm_animals_and_working_animals,635,0.146,1.0,0.561
Cymbal,Hi-hat,604,0.669,1.0,0.909
Hi-hat,Music,604,1.0,0.041,0.28
Hi-hat,Musical_instrument,604,1.0,0.041,0.281
Hi-hat,Percussion,604,1.0,0.152,0.576
Insect,Wild_animals,598,1.0,0.25,0.688
Animal,Insect,598,0.137,1.0,0.554
Thunder,Thunderstorm,583,1.0,0.97,0.993
Clapping,Hands,566,1.0,0.651,0.905
Domestic_sounds_and_home_sounds,Slam,552,0.083,1.0,0.45
Door,Slam,552,0.363,1.0,0.776
Applause,Human_group_actions,550,1.0,0.387,0.79
Animal,Chirp_and_tweet,548,0.126,1.0,0.543
Chirp_and_tweet,Wild_animals,548,1.0,0.229,0.675
Bird,Chirp_and_tweet,548,0.317,1.0,0.747
Bird_vocalization_and_bird_call_and_bird_song,Chirp_and_tweet,548,0.57,1.0,0.876
Bark,Domestic_animals_and_pets,536,1.0,0.393,0.795
Bark,Dog,536,1.0,0.576,0.879
Animal,Bark,536,0.123,1.0,0.54
Coin_(dropping),Domestic_sounds_and_home_sounds,529,1.0,0.079,0.446
Alarm,Vehicle,524,0.281,0.141,0.296
Liquid,Splash_and_splatter,518,0.324,1.0,0.754
Glass,Shatter,510,0.411,1.0,0.807
Explosion,Gunshot_and_gunfire,482,0.347,1.0,0.773
Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds,479,1.0,0.072,0.437
Liquid,Water,478,0.299,0.248,0.443
Explosion,Fireworks,469,0.338,1.0,0.769
Domestic_sounds_and_home_sounds,Water_tap_and_faucet,458,0.069,1.0,0.432
Chatter,Human_group_actions,454,1.0,0.319,0.758
Train,Vehicle,449,1.0,0.121,0.554
Rail_transport,Train,449,0.537,1.0,0.869
Crowd,Human_group_actions,435,1.0,0.306,0.751
Cat,Domestic_animals_and_pets,435,1.0,0.319,0.76
Animal,Cat,435,0.1,1.0,0.517
